session_id,label,outcome,problem_id,item_id,perturbation_type,difficulty,n_windows,max_delta_h1,max_xi_h1,max_negative_balance_h1,max_delta_h2,max_xi_h2,max_negative_balance_h2,max_delta_h4,max_xi_h4,max_negative_balance_h4,max_delta_h8,max_xi_h8,max_negative_balance_h8,max_delta_h16,max_xi_h16,max_negative_balance_h16,max_delta_full,max_xi_full,max_negative_balance_full
cocc-00176-2ac06150aa,1,FAIL,2870,2870:negation_objective:47,negation_objective,easy,32,0.09114684501757639,0.005522308173829756,-0.19447769182617025,0.09114684501757639,0.008236201615396909,-0.1917637983846031,0.10447576992324518,0.014549706364868294,-0.1854502936351317,0.16109505415600336,0.029888508673517326,-0.17011149132648268,0.16109505415600336,0.05055703438226679,-0.14944296561773324,0.16109505415600336,0.053662088854858944,-0.14633791114514105
cocc-00177-f36cdabeaa,1,FAIL,2872,2872:negation_objective:48,negation_objective,medium,32,0.02287238241244938,0.0013857675965292314,-0.1986142324034708,0.02472046483505529,0.0027995454323863694,-0.19720045456761365,0.07319818669495072,0.007347986453362913,-0.1926520135466371,0.08885536359076401,0.01905441163096174,-0.18094558836903826,0.18399979781888598,0.031564431854785864,-0.16843556814521415,0.18399979781888598,0.04702210105222861,-0.15297789894777142
cocc-00178-4a5eed50dc,1,FAIL,2873,2873:negation_objective:49,negation_objective,medium,32,0.04146237463703804,0.0025120782877383575,-0.19748792171226165,0.04146237463703804,0.004245180021248787,-0.19575481997875122,0.07021124283619744,0.008907223326090338,-0.19109277667390967,0.11518061307744666,0.021297679776925045,-0.17870232022307497,0.16068857514114562,0.0447152554601059,-0.1552847445398941,0.16492356580568873,0.05190813962354562,-0.1480918603764544
cocc-00179-264df6a6a7,1,FAIL,2876,2876:negation_objective:50,negation_objective,easy,8,0.12093565275500011,0.007327120797078493,-0.19267287920292153,0.12093565275500011,0.01398874711996622,-0.18601125288003378,0.12093565275500011,0.020582183457693595,-0.17941781654230643,0.16426216990200382,0.04697920510664924,-0.15302079489335077,,,,0.16426216990200382,0.04697920510664924,-0.15302079489335077
cocc-00180-3a357b2601,1,FAIL,2877,2877:negation_objective:51,negation_objective,medium,32,0.022009652012625735,0.0013334974039862111,-0.1986665025960138,0.05127837901965825,0.0043595048092233205,-0.1956404951907767,0.1697404519850121,0.016996833779982807,-0.1830031662200172,0.1697404519850121,0.031419405187060864,-0.16858059481293913,0.1697404519850121,0.046456189043958186,-0.15354381095604183,0.1697404519850121,0.05159530821978336,-0.14840469178021665
cocc-00181-4fa6889bde,0,PASS,2881,2881:negation_objective:54,negation_objective,easy,5,0.10145772434458909,0.006147012771953305,-0.1938529872280467,0.11727653022906732,0.012880009865696216,-0.1871199901343038,0.12321324079306312,0.024139255064492483,-0.17586074493550752,,,,,,,0.12321324079306312,0.026970658833501103,-0.1730293411664989
cocc-00182-66be70db69,1,FAIL,2882,2882:negation_objective:55,negation_objective,medium,32,0.06622221962833498,0.004012201460974141,-0.19598779853902587,0.11467373345432785,0.010716844748819999,-0.18928315525118,0.11467373345432785,0.016812681906504874,-0.18318731809349514,0.11467373345432785,0.016812681906504874,-0.18318731809349514,0.11660560637522109,0.03016510127283616,-0.16983489872716384,0.23556539202513202,0.04752094794241447,-0.15247905205758555
cocc-00183-3b0815851f,1,FAIL,2883,2883:negation_objective:56,negation_objective,medium,32,0.03181829426582475,0.0019277729960658668,-0.19807222700393415,0.03181829426582475,0.003165174261407334,-0.19683482573859268,0.07002522645259508,0.0091392897898787,-0.1908607102101213,0.08827103423992677,0.018785922468100777,-0.18121407753189922,0.10814796942628734,0.03404567410964117,-0.16595432589035886,0.17131762762522737,0.04489511919615179,-0.1551048808038482
cocc-00184-96497238db,1,FAIL,2884,2884:negation_objective:57,negation_objective,hard,32,0.06520491936993739,0.003950566354118771,-0.19604943364588123,0.06860832228584907,0.007867981751376126,-0.1921320182486239,0.06860832228584907,0.01290092285276279,-0.18709907714723722,0.14126516373378062,0.023887643238063944,-0.17611235676193607,0.14126516373378062,0.04054179381393379,-0.1594582061860662,0.1492143310181217,0.05599611594645548,-0.14400388405354453
cocc-00185-3486899794,1,FAIL,2886,2886:negation_objective:58,negation_objective,easy,32,0.07356761443083824,0.004457236434483628,-0.1955427635655164,0.07356761443083824,0.006783599912266109,-0.1932164000877339,0.1274373406000163,0.01534248648291677,-0.18465751351708323,0.13464730761796828,0.02343801563126438,-0.17656198436873563,0.13892968624964552,0.049390577410767925,-0.1506094225892321,0.21541638679252897,0.07854112617738508,-0.12145887382261493
